Point,Frequency_GHz,S11_dB,Phase_deg
f0 (min S11),2.41,-29.5763388506452,98.4949793630167
f1 (S11=-10 dB),2.39201898685719,-10.0000000000001,0.77537950199456
f2 (S11=-10 dB),2.43229432484857,-9.99999999999995,-35.7267289545627
