Frequency_GHz,S11_dB,S21_dB
2.3,-13.7163182239161,-2.41425429044409
2.4,-6.25957160572559,-5.36051097766936
2.5,-4.16025235860483,-9.66562996438445
2.31851971585208,-10.0449747474647,-3
